,Reference Area,Time Period,Sex,Age group,Units of measurement,Observation Value,Continent
87,Algeria,2001,Female,Not applicable,Percent,4.43312,Africa
6123,Tunisia,2008,Female,Not applicable,Percent,4.519430000000001,Africa
4046,Mauritius,2004,Male,Not applicable,Percent,4.54416,Africa
88,Algeria,2000,Female,Not applicable,Percent,4.5701,Africa
79,Algeria,2003,Female,Not applicable,Percent,4.578180000000001,Africa
810,Botswana,2012,Female,Not applicable,Percent,4.6147800000000005,Africa
6116,Tunisia,2012,Male,Not applicable,Percent,4.71086,Africa
1943,Egypt,2001,Female,Not applicable,Percent,4.7792,Africa
6118,Tunisia,2009,Female,Not applicable,Percent,4.85949,Africa
61,Algeria,2010,Female,Not applicable,Percent,4.86745,Africa
78,Algeria,2004,Female,Not applicable,Percent,4.870340000000001,Africa
65,Algeria,2009,All genders,Not applicable,Percent,4.96103,Africa
1941,Egypt,2001,All genders,Not applicable,Percent,5.00099,Africa
4053,Mauritius,2001,Male,Not applicable,Percent,5.11413,Africa
57,Algeria,2012,Male,Not applicable,Percent,5.15132,Africa
6120,Tunisia,2009,All genders,Not applicable,Percent,5.15149,Africa
1942,Egypt,2001,Male,Not applicable,Percent,5.2294599999999996,Africa
67,Algeria,2007,Female,Not applicable,Percent,5.3076099999999995,Africa
6121,Tunisia,2008,All genders,Not applicable,Percent,5.31634,Africa
72,Algeria,2006,Female,Not applicable,Percent,5.31766,Africa
811,Botswana,2008,Female,Not applicable,Percent,5.323169999999999,Africa
6124,Tunisia,2007,Female,Not applicable,Percent,5.3873,Africa
6119,Tunisia,2009,Male,Not applicable,Percent,5.42984,Africa
89,Algeria,2000,All genders,Not applicable,Percent,5.4362699999999995,Africa
60,Algeria,2011,Female,Not applicable,Percent,5.44722,Africa
62,Algeria,2010,All genders,Not applicable,Percent,5.44744,Africa
83,Algeria,2002,All genders,Not applicable,Percent,5.48306,Africa
54,Algeria,2013,Female,Not applicable,Percent,5.50481,Africa
6130,Tunisia,2004,Female,Not applicable,Percent,5.58701,Africa
6129,Tunisia,2006,Female,Not applicable,Percent,5.6020199999999996,Africa
1939,Egypt,2002,Male,Not applicable,Percent,5.71777,Africa
6127,Tunisia,2006,All genders,Not applicable,Percent,5.72472,Africa
1933,Egypt,2005,Female,Not applicable,Percent,5.75093,Africa
4033,Mauritius,2008,Male,Not applicable,Percent,5.75605,Africa
6136,Tunisia,2002,Female,Not applicable,Percent,5.81912,Africa
6128,Tunisia,2006,Male,Not applicable,Percent,5.83427,Africa
6115,Tunisia,2012,All genders,Not applicable,Percent,5.86855,Africa
6126,Tunisia,2007,All genders,Not applicable,Percent,5.86902,Africa
4021,Mauritius,2012,Male,Not applicable,Percent,5.94417,Africa
808,Botswana,2012,All genders,Not applicable,Percent,5.98795,Africa
63,Algeria,2010,Male,Not applicable,Percent,5.98945,Africa
6122,Tunisia,2008,Male,Not applicable,Percent,6.06795,Africa
1930,Egypt,2006,All genders,Not applicable,Percent,6.08814,Africa
2078,Eritrea,1999,All genders,Not applicable,Percent,6.125290000000001,Africa
6135,Tunisia,2003,Female,Not applicable,Percent,6.17946,Africa
90,Algeria,2000,Male,Not applicable,Percent,6.24573,Africa
6125,Tunisia,2007,Male,Not applicable,Percent,6.330419999999999,Africa
84,Algeria,2002,Male,Not applicable,Percent,6.45855,Africa
1934,Egypt,2004,All genders,Not applicable,Percent,6.48113,Africa
6132,Tunisia,2004,All genders,Not applicable,Percent,6.491219999999999,Africa
1178,Cape Verde,2012,Female,Not applicable,Percent,6.50735,Africa
86,Algeria,2001,All genders,Not applicable,Percent,6.51526,Africa
80,Algeria,2003,All genders,Not applicable,Percent,6.53776,Africa
53,Algeria,2013,All genders,Not applicable,Percent,6.587000000000001,Africa
6133,Tunisia,2003,All genders,Not applicable,Percent,6.71426,Africa
2526,Ghana,2001,Male,Not applicable,Percent,6.79575,Africa
77,Algeria,2004,All genders,Not applicable,Percent,6.796869999999999,Africa
1931,Egypt,2005,All genders,Not applicable,Percent,6.82247,Africa
6138,Tunisia,2002,All genders,Not applicable,Percent,6.8413699999999995,Africa
64,Algeria,2009,Male,Not applicable,Percent,6.84484,Africa
93,Algeria,1999,Female,Not applicable,Percent,6.856,Africa
6117,Tunisia,2012,Female,Not applicable,Percent,6.99147,Africa
813,Botswana,2008,All genders,Not applicable,Percent,7.027880000000001,Africa
68,Algeria,2007,All genders,Not applicable,Percent,7.04767,Africa
94,Algeria,1998,Female,Not applicable,Percent,7.07223,Africa
6141,Tunisia,2001,Female,Not applicable,Percent,7.207660000000001,Africa
6134,Tunisia,2003,Male,Not applicable,Percent,7.21363,Africa
59,Algeria,2011,All genders,Not applicable,Percent,7.232480000000001,Africa
809,Botswana,2012,Male,Not applicable,Percent,7.3148,Africa
6131,Tunisia,2004,Male,Not applicable,Percent,7.34209,Africa
52,Algeria,2013,Male,Not applicable,Percent,7.61227,Africa
1175,Cape Verde,2013,Female,Not applicable,Percent,7.7083699999999995,Africa
6137,Tunisia,2002,Male,Not applicable,Percent,7.79782,Africa
1932,Egypt,2005,Male,Not applicable,Percent,7.79939,Africa
4409,Namibia,2012,Female,Not applicable,Percent,7.82487,Africa
73,Algeria,2005,Female,Not applicable,Percent,7.82953,Africa
6139,Tunisia,2001,All genders,Not applicable,Percent,7.900580000000001,Africa
95,Algeria,1998,All genders,Not applicable,Percent,7.960539999999999,Africa
71,Algeria,2006,All genders,Not applicable,Percent,7.98875,Africa
4230,Morocco,2012,Male,Not applicable,Percent,8.21188,Africa
81,Algeria,2003,Male,Not applicable,Percent,8.35722,Africa
85,Algeria,2001,Male,Not applicable,Percent,8.43237,Africa
4229,Morocco,2012,All genders,Not applicable,Percent,8.44058,Africa
92,Algeria,1999,All genders,Not applicable,Percent,8.544189999999999,Africa
6140,Tunisia,2001,Male,Not applicable,Percent,8.54941,Africa
2077,Eritrea,1999,Female,Not applicable,Percent,8.55,Africa
76,Algeria,2004,Male,Not applicable,Percent,8.563889999999999,Africa
1179,Cape Verde,2012,All genders,Not applicable,Percent,8.59943,Africa
69,Algeria,2007,Male,Not applicable,Percent,8.65652,Africa
812,Botswana,2008,Male,Not applicable,Percent,8.66727,Africa
4228,Morocco,2012,Female,Not applicable,Percent,8.68497,Africa
1201,Cape Verde,2001,Female,Not applicable,Percent,8.73071,Africa
96,Algeria,1998,Male,Not applicable,Percent,8.78222,Africa
58,Algeria,2011,Male,Not applicable,Percent,8.88198,Africa
74,Algeria,2005,All genders,Not applicable,Percent,9.08036,Africa
1174,Cape Verde,2013,All genders,Not applicable,Percent,9.36316,Africa
4407,Namibia,2012,All genders,Not applicable,Percent,9.407210000000001,Africa
4237,Morocco,2009,Male,Not applicable,Percent,9.41935,Africa
4238,Morocco,2009,All genders,Not applicable,Percent,9.48217,Africa
4239,Morocco,2009,Female,Not applicable,Percent,9.555589999999999,Africa
5519,Seychelles,2000,Male,Not applicable,Percent,9.68172,Africa
1190,Cape Verde,2005,Female,Not applicable,Percent,9.843060000000001,Africa
91,Algeria,1999,Male,Not applicable,Percent,10.112969999999999,Africa
5517,Seychelles,2000,All genders,Not applicable,Percent,10.126380000000001,Africa
4236,Morocco,2010,Male,Not applicable,Percent,10.204139999999999,Africa
75,Algeria,2005,Male,Not applicable,Percent,10.23686,Africa
4227,Morocco,2013,Male,Not applicable,Percent,10.31155,Africa
1182,Cape Verde,2010,Male,Not applicable,Percent,10.434280000000001,Africa
70,Algeria,2006,Male,Not applicable,Percent,10.4595,Africa
6142,Tunisia,2000,Female,Not applicable,Percent,10.4608,Africa
1177,Cape Verde,2012,Male,Not applicable,Percent,10.547930000000001,Africa
5518,Seychelles,2000,Female,Not applicable,Percent,10.55737,Africa
4235,Morocco,2010,All genders,Not applicable,Percent,10.57586,Africa
2071,Eritrea,2002,Male,Not applicable,Percent,10.63855,Africa
1180,Cape Verde,2010,All genders,Not applicable,Percent,10.69337,Africa
4225,Morocco,2013,All genders,Not applicable,Percent,10.74566,Africa
1195,Cape Verde,2003,Female,Not applicable,Percent,10.77942,Africa
1181,Cape Verde,2010,Female,Not applicable,Percent,10.91762,Africa
1176,Cape Verde,2013,Male,Not applicable,Percent,10.93245,Africa
1200,Cape Verde,2001,All genders,Not applicable,Percent,10.97208,Africa
4234,Morocco,2010,Female,Not applicable,Percent,10.98006,Africa
2525,Ghana,2001,All genders,Not applicable,Percent,11.00757,Africa
4408,Namibia,2012,Male,Not applicable,Percent,11.02415,Africa
816,Botswana,2005,Female,Not applicable,Percent,11.13607,Africa
4226,Morocco,2013,Female,Not applicable,Percent,11.206539999999999,Africa
4231,Morocco,2011,Male,Not applicable,Percent,11.34801,Africa
6144,Tunisia,2000,All genders,Not applicable,Percent,11.660110000000001,Africa
6147,Tunisia,1999,Female,Not applicable,Percent,11.67892,Africa
4232,Morocco,2011,All genders,Not applicable,Percent,11.76349,Africa
829,Botswana,2000,Female,Not applicable,Percent,11.94801,Africa
6148,Tunisia,1998,Female,Not applicable,Percent,12.07841,Africa
817,Botswana,2004,Female,Not applicable,Percent,12.09673,Africa
4233,Morocco,2011,Female,Not applicable,Percent,12.21082,Africa
97,Algeria,1997,Male,Not applicable,Percent,12.39713,Africa
822,Botswana,2003,Female,Not applicable,Percent,12.41865,Africa
6023,Togo,2005,Male,Not applicable,Percent,12.437999999999999,Africa
823,Botswana,2002,Female,Not applicable,Percent,12.45195,Africa
1189,Cape Verde,2005,All genders,Not applicable,Percent,12.487589999999999,Africa
1193,Cape Verde,2003,All genders,Not applicable,Percent,12.511280000000001,Africa
5509,Seychelles,2003,Female,Not applicable,Percent,12.704989999999999,Africa
6143,Tunisia,2000,Male,Not applicable,Percent,12.7725,Africa
98,Algeria,1997,All genders,Not applicable,Percent,12.78969,Africa
6145,Tunisia,1999,All genders,Not applicable,Percent,12.8235,Africa
4410,Namibia,2009,Female,Not applicable,Percent,12.954989999999999,Africa
1187,Cape Verde,2007,Female,Not applicable,Percent,13.01468,Africa
837,Botswana,1998,Female,Not applicable,Percent,13.143270000000001,Africa
2066,Eritrea,2003,Male,Not applicable,Percent,13.14979,Africa
1199,Cape Verde,2001,Male,Not applicable,Percent,13.194770000000002,Africa
814,Botswana,2005,All genders,Not applicable,Percent,13.19989,Africa
99,Algeria,1997,Female,Not applicable,Percent,13.215770000000001,Africa
5793,Swaziland,2009,Female,Not applicable,Percent,13.289439999999999,Africa
6150,Tunisia,1998,All genders,Not applicable,Percent,13.48712,Africa
2069,Eritrea,2002,All genders,Not applicable,Percent,13.830179999999999,Africa
828,Botswana,2001,Female,Not applicable,Percent,13.84821,Africa
102,Algeria,1996,Male,Not applicable,Percent,13.85314,Africa
1188,Cape Verde,2006,All genders,Not applicable,Percent,13.87766,Africa
6146,Tunisia,1999,Male,Not applicable,Percent,13.87994,Africa
5799,Swaziland,2005,Female,Not applicable,Percent,14.103660000000001,Africa
1194,Cape Verde,2003,Male,Not applicable,Percent,14.12817,Africa
1185,Cape Verde,2007,All genders,Not applicable,Percent,14.26096,Africa
103,Algeria,1995,Male,Not applicable,Percent,14.3025,Africa
834,Botswana,1999,Female,Not applicable,Percent,14.45396,Africa
4415,Namibia,2008,Female,Not applicable,Percent,14.727720000000001,Africa
6149,Tunisia,1998,Male,Not applicable,Percent,14.7856,Africa
1183,Cape Verde,2009,All genders,Not applicable,Percent,14.89134,Africa
1198,Cape Verde,2002,Male,Not applicable,Percent,14.89928,Africa
2517,Ghana,2013,Male,Not applicable,Percent,14.901860000000001,Africa
4427,Namibia,2002,Female,Not applicable,Percent,14.90642,Africa
1192,Cape Verde,2004,All genders,Not applicable,Percent,14.92421,Africa
821,Botswana,2003,All genders,Not applicable,Percent,14.94975,Africa
1191,Cape Verde,2005,Male,Not applicable,Percent,15.093639999999999,Africa
5510,Seychelles,2003,All genders,Not applicable,Percent,15.12106,Africa
101,Algeria,1996,All genders,Not applicable,Percent,15.24676,Africa
815,Botswana,2005,Male,Not applicable,Percent,15.258870000000002,Africa
3883,Mali,2004,Male,Not applicable,Percent,15.28684,Africa
2527,Ghana,2001,Female,Not applicable,Percent,15.42731,Africa
6186,Tunisia,1978,Male,Not applicable,Percent,15.47596,Africa
1186,Cape Verde,2007,Male,Not applicable,Percent,15.4819,Africa
830,Botswana,2000,All genders,Not applicable,Percent,15.52922,Africa
4412,Namibia,2009,All genders,Not applicable,Percent,15.537279999999999,Africa
844,Botswana,1994,Female,Not applicable,Percent,15.5955,Africa
1790,Djibouti,2013,All genders,Not applicable,Percent,15.5977,Africa
5659,South Africa,2001,Female,Not applicable,Percent,15.6849,Africa
4431,Namibia,1999,Female,Not applicable,Percent,15.830079999999999,Africa
824,Botswana,2002,All genders,Not applicable,Percent,15.98329,Africa
1197,Cape Verde,2002,All genders,Not applicable,Percent,16.01279,Africa
5792,Swaziland,2009,All genders,Not applicable,Percent,16.08911,Africa
2346,Gambia,2011,Male,Not applicable,Percent,16.16941,Africa
818,Botswana,2004,All genders,Not applicable,Percent,16.221,Africa
2518,Ghana,2013,All genders,Not applicable,Percent,16.28634,Africa
104,Algeria,1995,All genders,Not applicable,Percent,16.36324,Africa
827,Botswana,2001,All genders,Not applicable,Percent,16.39859,Africa
2065,Eritrea,2004,Male,Not applicable,Percent,16.52409,Africa
3894,Mali,2000,All genders,Not applicable,Percent,16.627779999999998,Africa
4428,Namibia,2001,All genders,Not applicable,Percent,16.712320000000002,Africa
1184,Cape Verde,2008,All genders,Not applicable,Percent,16.74594,Africa
100,Algeria,1996,Female,Not applicable,Percent,16.77429,Africa
5798,Swaziland,2005,All genders,Not applicable,Percent,16.980610000000002,Africa
1196,Cape Verde,2002,Female,Not applicable,Percent,17.13358,Africa
2347,Gambia,2011,All genders,Not applicable,Percent,17.150779999999997,Africa
6544,Zambia,2006,Male,Not applicable,Percent,17.24534,Africa
5508,Seychelles,2003,Male,Not applicable,Percent,17.31578,Africa
820,Botswana,2003,Male,Not applicable,Percent,17.409470000000002,Africa
6548,Zambia,2001,All genders,Not applicable,Percent,17.42836,Africa
4413,Namibia,2008,All genders,Not applicable,Percent,17.4368,Africa
835,Botswana,1998,All genders,Not applicable,Percent,17.660439999999998,Africa
5658,South Africa,2002,Female,Not applicable,Percent,17.68034,Africa
2516,Ghana,2013,Female,Not applicable,Percent,17.71061,Africa
4430,Namibia,1999,All genders,Not applicable,Percent,17.72719,Africa
621,Benin,2000,Male,Not applicable,Percent,17.74635,Africa
4645,Nigeria,2009,Female,Not applicable,Percent,17.780089999999998,Africa
3886,Mali,2003,Male,Not applicable,Percent,17.849120000000003,Africa
2070,Eritrea,2002,Female,Not applicable,Percent,17.92004,Africa
833,Botswana,1999,All genders,Not applicable,Percent,17.96699,Africa
3972,Mauritania,2008,Female,Not applicable,Percent,17.99448,Africa
5458,Senegal,1989,Male,Not applicable,Percent,18.111279999999997,Africa
2348,Gambia,2011,Female,Not applicable,Percent,18.11748,Africa
838,Botswana,1996,Female,Not applicable,Percent,18.15098,Africa
4411,Namibia,2009,Male,Not applicable,Percent,18.16208,Africa
4429,Namibia,2000,All genders,Not applicable,Percent,18.386589999999998,Africa
2072,Eritrea,2001,All genders,Not applicable,Percent,18.40671,Africa
4425,Namibia,2002,All genders,Not applicable,Percent,18.41104,Africa
6540,Zambia,2007,Male,Not applicable,Percent,18.44303,Africa
5394,Sao Tome and Principe,1984,Male,Not applicable,Percent,18.44978,Africa
2667,Guinea,2003,Male,Not applicable,Percent,18.57955,Africa
105,Algeria,1995,Female,Not applicable,Percent,18.626179999999998,Africa
5393,Sao Tome and Principe,1984,All genders,Not applicable,Percent,18.72031,Africa
5794,Swaziland,2009,Male,Not applicable,Percent,18.7609,Africa
3970,Mauritania,2008,All genders,Not applicable,Percent,18.76223,Africa
6564,Zambia,1980,Male,Not applicable,Percent,18.78027,Africa
3874,Mali,2008,Male,Not applicable,Percent,18.807010000000002,Africa
6557,Zambia,1983,Male,Not applicable,Percent,18.843320000000002,Africa
826,Botswana,2001,Male,Not applicable,Percent,18.87537,Africa
831,Botswana,2000,Male,Not applicable,Percent,18.95082,Africa
5395,Sao Tome and Principe,1984,Female,Not applicable,Percent,19.00401,Africa
2068,Eritrea,2003,All genders,Not applicable,Percent,19.14682,Africa
845,Botswana,1993,Female,Not applicable,Percent,19.166520000000002,Africa
5746,Sudan,2011,Male,Not applicable,Percent,19.26323,Africa
2658,Guinea,2006,Male,Not applicable,Percent,19.37209,Africa
825,Botswana,2002,Male,Not applicable,Percent,19.40502,Africa
6022,Togo,2005,All genders,Not applicable,Percent,19.41677,Africa
6558,Zambia,1982,Male,Not applicable,Percent,19.46733,Africa
3971,Mauritania,2008,Male,Not applicable,Percent,19.534029999999998,Africa
115,Algeria,1989,Male,Not applicable,Percent,19.55215,Africa
4647,Nigeria,2008,Male,Not applicable,Percent,19.55902,Africa
2394,Gambia,1987,Male,Not applicable,Percent,19.56643,Africa
3884,Mali,2004,All genders,Not applicable,Percent,19.60805,Africa
4657,Nigeria,2005,Female,Not applicable,Percent,19.62305,Africa
1793,Djibouti,2012,Male,Not applicable,Percent,19.65429,Africa
5800,Swaziland,2005,Male,Not applicable,Percent,19.66885,Africa
4432,Namibia,1999,Male,Not applicable,Percent,19.72822,Africa
4416,Namibia,2005,Female,Not applicable,Percent,19.775270000000003,Africa
6569,Zambia,1979,Male,Not applicable,Percent,19.79221,Africa
5660,South Africa,2001,All genders,Not applicable,Percent,19.92739,Africa
3891,Mali,2001,Male,Not applicable,Percent,20.00679,Africa
4649,Nigeria,2008,All genders,Not applicable,Percent,20.00902,Africa
2342,Gambia,2013,Female,Not applicable,Percent,20.01979,Africa
819,Botswana,2004,Male,Not applicable,Percent,20.05218,Africa
5745,Sudan,2011,All genders,Not applicable,Percent,20.13425,Africa
4414,Namibia,2008,Male,Not applicable,Percent,20.15831,Africa
6563,Zambia,1981,Male,Not applicable,Percent,20.1925,Africa
6187,Tunisia,1977,Male,Not applicable,Percent,20.31106,Africa
5369,Sao Tome and Principe,2014,All genders,Not applicable,Percent,20.4669,Africa
3877,Mali,2007,Male,Not applicable,Percent,20.54181,Africa
4648,Nigeria,2008,Female,Not applicable,Percent,20.555,Africa
4644,Nigeria,2009,All genders,Not applicable,Percent,20.66159,Africa
2063,Eritrea,2004,All genders,Not applicable,Percent,20.781999999999996,Africa
3873,Mali,2008,All genders,Not applicable,Percent,20.79446,Africa
5653,South Africa,2003,Female,Not applicable,Percent,20.866139999999998,Africa
114,Algeria,1990,Male,Not applicable,Percent,21.109289999999998,Africa
4421,Namibia,2004,Female,Not applicable,Percent,21.1303,Africa
5744,Sudan,2011,Female,Not applicable,Percent,21.15095,Africa
5747,Sudan,2009,Male,Not applicable,Percent,21.19483,Africa
5396,Sao Tome and Principe,1983,All genders,Not applicable,Percent,21.21173,Africa
5657,South Africa,2002,All genders,Not applicable,Percent,21.30085,Africa
4248,Morocco,2006,Male,Not applicable,Percent,21.30105,Africa
3871,Mali,2009,Male,Not applicable,Percent,21.317120000000003,Africa
832,Botswana,1999,Male,Not applicable,Percent,21.356170000000002,Africa
3885,Mali,2003,All genders,Not applicable,Percent,21.573439999999998,Africa
5375,Sao Tome and Principe,2007,Male,Not applicable,Percent,21.610120000000002,Africa
4240,Morocco,2008,Female,Not applicable,Percent,21.6574,Africa
4261,Morocco,2001,Male,Not applicable,Percent,21.7348,Africa
6152,Tunisia,1994,Male,Not applicable,Percent,21.77044,Africa
4422,Namibia,2003,Female,Not applicable,Percent,21.88404,Africa
4426,Namibia,2002,Male,Not applicable,Percent,21.891479999999998,Africa
4241,Morocco,2008,All genders,Not applicable,Percent,21.926660000000002,Africa
836,Botswana,1998,Male,Not applicable,Percent,21.946070000000002,Africa
2047,Eritrea,2012,Male,Not applicable,Percent,21.99899,Africa
4262,Morocco,2001,All genders,Not applicable,Percent,22.02788,Africa
6545,Zambia,2005,Male,Not applicable,Percent,22.07675,Africa
4242,Morocco,2008,Male,Not applicable,Percent,22.183000000000003,Africa
4656,Nigeria,2005,All genders,Not applicable,Percent,22.25171,Africa
3460,Lesotho,2013,Female,Not applicable,Percent,22.3206,Africa
4263,Morocco,2001,Female,Not applicable,Percent,22.32571,Africa
6539,Zambia,2007,All genders,Not applicable,Percent,22.33504,Africa
3237,Kenya,2004,All genders,Not applicable,Percent,22.36874,Africa
2045,Eritrea,2012,All genders,Not applicable,Percent,22.39945,Africa
4247,Morocco,2006,All genders,Not applicable,Percent,22.424039999999998,Africa
2054,Eritrea,2007,Male,Not applicable,Percent,22.48961,Africa
1952,Egypt,1986,Male,Not applicable,Percent,22.58134,Africa
108,Algeria,1992,Male,Not applicable,Percent,22.60662,Africa
5789,Swaziland,2012,Female,Not applicable,Percent,22.62657,Africa
3872,Mali,2009,All genders,Not applicable,Percent,22.66339,Africa
2341,Gambia,2013,All genders,Not applicable,Percent,22.687089999999998,Africa
2046,Eritrea,2012,Female,Not applicable,Percent,22.88425,Africa
3868,Mali,2010,Male,Not applicable,Percent,22.92061,Africa
2060,Eritrea,2005,Male,Not applicable,Percent,22.92439,Africa
6573,Zambia,1977,Male,Not applicable,Percent,22.96848,Africa
5654,South Africa,2003,All genders,Not applicable,Percent,23.01407,Africa
2661,Guinea,2005,Male,Not applicable,Percent,23.05677,Africa
4418,Namibia,2005,All genders,Not applicable,Percent,23.10548,Africa
4646,Nigeria,2009,Male,Not applicable,Percent,23.12361,Africa
3472,Lesotho,2009,Female,Not applicable,Percent,23.1832,Africa
3492,Lesotho,2002,Female,Not applicable,Percent,23.20509,Africa
3875,Mali,2008,Female,Not applicable,Percent,23.21945,Africa
116,Algeria,1989,All genders,Not applicable,Percent,23.22285,Africa
4243,Morocco,2007,Male,Not applicable,Percent,23.31148,Africa
3478,Lesotho,2007,Female,Not applicable,Percent,23.346729999999997,Africa
6151,Tunisia,1994,All genders,Not applicable,Percent,23.36215,Africa
6185,Tunisia,1978,All genders,Not applicable,Percent,23.36293,Africa
842,Botswana,1994,All genders,Not applicable,Percent,23.36877,Africa
4419,Namibia,2004,All genders,Not applicable,Percent,23.57111,Africa
3878,Mali,2007,All genders,Not applicable,Percent,23.62412,Africa
4246,Morocco,2006,Female,Not applicable,Percent,23.66246,Africa
2659,Guinea,2006,All genders,Not applicable,Percent,23.68495,Africa
6574,Zambia,1976,Male,Not applicable,Percent,23.72674,Africa
6029,Togo,2003,Male,Not applicable,Percent,23.74547,Africa
2361,Gambia,2003,Female,Not applicable,Percent,23.76202,Africa
2393,Gambia,1989,Male,Not applicable,Percent,23.77845,Africa
4244,Morocco,2007,All genders,Not applicable,Percent,23.78898,Africa
4260,Morocco,2002,Male,Not applicable,Percent,23.82525,Africa
1119,Cameroon,1999,All genders,Not applicable,Percent,23.826439999999998,Africa
