"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Denmark","2008","Not applicable","Not applicable","Percent","81.06162"
"Denmark","2007","Not applicable","Not applicable","Percent","81.05425"
"Denmark","2006","Not applicable","Not applicable","Percent","76.7094"
"Denmark","2005","Not applicable","Not applicable","Percent","77.35955"
"Denmark","2004","Not applicable","Not applicable","Percent","78.04504"
"Denmark","2003","Not applicable","Not applicable","Percent","78.00755"
"Denmark","2002","Not applicable","Not applicable","Percent","77.77349"
"Denmark","2001","Not applicable","Not applicable","Percent","78.13468"
"Denmark","2000","Not applicable","Not applicable","Percent","77.93357"
"Denmark","1999","Not applicable","Not applicable","Percent","75.41897"
"Denmark","1998","Not applicable","Not applicable","Percent","78.63771"
"Djibouti","2014","Not applicable","Not applicable","Percent","95.53804"
"Djibouti","2008","Not applicable","Not applicable","Percent","99.65767"
"Dominica","2012","Not applicable","Not applicable","Percent","100"
"Dominica","2009","Not applicable","Not applicable","Percent","64.00696"
"Dominica","2008","Not applicable","Not applicable","Percent","99.02239"
"Dominican Republic","2014","Not applicable","Not applicable","Percent","77.8081"
"Dominican Republic","2013","Not applicable","Not applicable","Percent","77.23692"
"Dominican Republic","2011","Not applicable","Not applicable","Percent","85.45662"
"Dominican Republic","2010","Not applicable","Not applicable","Percent","89.57931"
"Dominican Republic","2009","Not applicable","Not applicable","Percent","93.54845"
"Dominican Republic","2008","Not applicable","Not applicable","Percent","89.13712"
"Dominican Republic","2007","Not applicable","Not applicable","Percent","88.62776"
"Dominican Republic","2004","Not applicable","Not applicable","Percent","96.49578"
"Ecuador","2014","Not applicable","Not applicable","Percent","89.01537"
"Ecuador","2013","Not applicable","Not applicable","Percent","37.54316"
"Ecuador","2012","Not applicable","Not applicable","Percent","95.24586"
"Ecuador","2011","Not applicable","Not applicable","Percent","96.53891"
"Ecuador","2010","Not applicable","Not applicable","Percent","85.0541"
"El Salvador","2008","Not applicable","Not applicable","Percent","77.00108"
"El Salvador","2007","Not applicable","Not applicable","Percent","77.98493"
"El Salvador","2006","Not applicable","Not applicable","Percent","68.98734"
"El Salvador","2003","Not applicable","Not applicable","Percent","76.41193"
"El Salvador","2002","Not applicable","Not applicable","Percent","75.87361"
"Eritrea","2005","Not applicable","Not applicable","Percent","61.19504"
"Eritrea","2004","Not applicable","Not applicable","Percent","55.74462"
"Eritrea","2002","Not applicable","Not applicable","Percent","91.76957"
"Eritrea","2001","Not applicable","Not applicable","Percent","90.4259"
"Eritrea","2000","Not applicable","Not applicable","Percent","91.35752"
"Estonia","2012","Not applicable","Not applicable","Percent","0"
"Estonia","2002","Not applicable","Not applicable","Percent","68.3213"
"Estonia","2001","Not applicable","Not applicable","Percent","67.88512"
"Ethiopia","2013","Not applicable","Not applicable","Percent","76.6822"
"Ethiopia","2010","Not applicable","Not applicable","Percent","73.09495"
"Ethiopia","2009","Not applicable","Not applicable","Percent","74.39372"
"Finland","2011","Not applicable","Not applicable","Percent","63.47112"
"Finland","2010","Not applicable","Not applicable","Percent","63.44719"
"Finland","2009","Not applicable","Not applicable","Percent","63.7132"
"Finland","2008","Not applicable","Not applicable","Percent","63.83225"
"Finland","2007","Not applicable","Not applicable","Percent","64.76028"
"Finland","2006","Not applicable","Not applicable","Percent","65.06503"
"Finland","2005","Not applicable","Not applicable","Percent","64.86545"
"Finland","2004","Not applicable","Not applicable","Percent","65.20485"
"Finland","2003","Not applicable","Not applicable","Percent","64.40006"
"Finland","2002","Not applicable","Not applicable","Percent","65.09381"
"Finland","2001","Not applicable","Not applicable","Percent","66.79417"
"Finland","2000","Not applicable","Not applicable","Percent","68.19176"
"Finland","1999","Not applicable","Not applicable","Percent","68.6411"
"France","2012","Not applicable","Not applicable","Percent","83.70358"
"France","2011","Not applicable","Not applicable","Percent","84.56721"
"France","2010","Not applicable","Not applicable","Percent","84.49807"
"France","2009","Not applicable","Not applicable","Percent","84.1375"
"France","2008","Not applicable","Not applicable","Percent","84.23687"
"France","2007","Not applicable","Not applicable","Percent","85.62309"
"France","2006","Not applicable","Not applicable","Percent","86.06514"
"France","2005","Not applicable","Not applicable","Percent","86.01393"
"France","2004","Not applicable","Not applicable","Percent","84.90873"
"France","2003","Not applicable","Not applicable","Percent","84.60154"
"France","2002","Not applicable","Not applicable","Percent","82.65849"
"France","2001","Not applicable","Not applicable","Percent","82.63002"
"France","2000","Not applicable","Not applicable","Percent","82.61815"
"France","1999","Not applicable","Not applicable","Percent","82.56218"
"France","1998","Not applicable","Not applicable","Percent","82.59425"
"Gambia","2013","Not applicable","Not applicable","Percent","85.86743"
"Gambia","2012","Not applicable","Not applicable","Percent","89.77905"
"Gambia","2011","Not applicable","Not applicable","Percent","93.37106"
"Gambia","2010","Not applicable","Not applicable","Percent","86.54861"
"Gambia","2009","Not applicable","Not applicable","Percent","84.77729"
"Gambia","2008","Not applicable","Not applicable","Percent","83.87687"
"Gambia","2007","Not applicable","Not applicable","Percent","98.48839"
"Gambia","2006","Not applicable","Not applicable","Percent","98.84841"
"Gambia","2005","Not applicable","Not applicable","Percent","96.66889"
"Gambia","2004","Not applicable","Not applicable","Percent","94.78361"
"Gambia","2003","Not applicable","Not applicable","Percent","89.66823"
"Gambia","2002","Not applicable","Not applicable","Percent","96.08693"
"Gambia","2001","Not applicable","Not applicable","Percent","94.11201"
"Germany","2012","Not applicable","Not applicable","Percent","84.33756"
"Germany","2011","Not applicable","Not applicable","Percent","83.40427"
"Germany","2010","Not applicable","Not applicable","Percent","83.24092"
"Germany","2009","Not applicable","Not applicable","Percent","83.0873"
"Germany","2008","Not applicable","Not applicable","Percent","83.2125"
"Germany","2007","Not applicable","Not applicable","Percent","83.83548"
"Germany","2006","Not applicable","Not applicable","Percent","84.71797"
"Germany","1998","Not applicable","Not applicable","Percent","89.3882"
"Ghana","2013","Not applicable","Not applicable","Percent","81.62806"
"Ghana","2012","Not applicable","Not applicable","Percent","77.85886"
"Ghana","2010","Not applicable","Not applicable","Percent","73.91941"
"Ghana","2009","Not applicable","Not applicable","Percent","77.47662"
"Ghana","2008","Not applicable","Not applicable","Percent","70.56148"
"Ghana","2007","Not applicable","Not applicable","Percent","72.64499"
"Ghana","2006","Not applicable","Not applicable","Percent","74.61282"
"Ghana","2005","Not applicable","Not applicable","Percent","86.56809"
"Ghana","2004","Not applicable","Not applicable","Percent","80.72346"
"Ghana","2001","Not applicable","Not applicable","Percent","97.28799"
"Greece","2005","Not applicable","Not applicable","Percent","95.00764"
"Greece","2004","Not applicable","Not applicable","Percent","93.98526"
"Greece","2003","Not applicable","Not applicable","Percent","93.37536"
"Greece","2002","Not applicable","Not applicable","Percent","88.60264"
"Greece","2001","Not applicable","Not applicable","Percent","90.10541"
"Greece","2000","Not applicable","Not applicable","Percent","89.516"
"Greece","1999","Not applicable","Not applicable","Percent","95.73281"
"Greece","1998","Not applicable","Not applicable","Percent","91.03281"
"Grenada","2003","Not applicable","Not applicable","Percent","84.03203"
"Guatemala","2014","Not applicable","Not applicable","Percent","85.7951"
"Guatemala","2013","Not applicable","Not applicable","Percent","71.35636"
"Guatemala","2012","Not applicable","Not applicable","Percent","76.64643"
"Guatemala","2008","Not applicable","Not applicable","Percent","87.63575"
"Guatemala","2007","Not applicable","Not applicable","Percent","88.99682"
"Guatemala","2006","Not applicable","Not applicable","Percent","87.75272"
"Guinea","2013","Not applicable","Not applicable","Percent","83.70528"
"Guinea","2012","Not applicable","Not applicable","Percent","79.00151"
"Guinea","2011","Not applicable","Not applicable","Percent","89.25942"
"Guinea","2010","Not applicable","Not applicable","Percent","76.26155"
"Guinea","2009","Not applicable","Not applicable","Percent","86.8656"
"Guinea","2008","Not applicable","Not applicable","Percent","94.53883"
"Guinea","2003","Not applicable","Not applicable","Percent","80.90909"
"Guinea-Bissau","2013","Not applicable","Not applicable","Percent","98.09627"
"Guinea-Bissau","2012","Not applicable","Not applicable","Percent","94.33094"
"Guinea-Bissau","2011","Not applicable","Not applicable","Percent","91.34404"
"Guinea-Bissau","2010","Not applicable","Not applicable","Percent","84.00085"
"Guyana","2012","Not applicable","Not applicable","Percent","68.3122"
"Guyana","2011","Not applicable","Not applicable","Percent","67.52197"
"Guyana","2010","Not applicable","Not applicable","Percent","65.71174"
"Guyana","2009","Not applicable","Not applicable","Percent","66.29412"
"Guyana","2007","Not applicable","Not applicable","Percent","73.86828"
"Guyana","2006","Not applicable","Not applicable","Percent","66.41644"
"Guyana","2005","Not applicable","Not applicable","Percent","64.51134"
"Guyana","2004","Not applicable","Not applicable","Percent","70.21194"
"Guyana","2002","Not applicable","Not applicable","Percent","60.07653"
"Holy See","2014","Not applicable","Not applicable","Percent","0"
"Holy See","2013","Not applicable","Not applicable","Percent","0"
"Holy See","2012","Not applicable","Not applicable","Percent","0"
"Holy See","2011","Not applicable","Not applicable","Percent","0"
"Holy See","2010","Not applicable","Not applicable","Percent","0"
"Holy See","2009","Not applicable","Not applicable","Percent","0"
"Holy See","2008","Not applicable","Not applicable","Percent","0"
"Holy See","2007","Not applicable","Not applicable","Percent","0"
"Holy See","2006","Not applicable","Not applicable","Percent","0"
"Holy See","2005","Not applicable","Not applicable","Percent","0"
"Holy See","2004","Not applicable","Not applicable","Percent","0"
"Holy See","2003","Not applicable","Not applicable","Percent","0"
"Holy See","2002","Not applicable","Not applicable","Percent","0"
"Holy See","2001","Not applicable","Not applicable","Percent","0"
"Holy See","2000","Not applicable","Not applicable","Percent","0"
"Holy See","1999","Not applicable","Not applicable","Percent","0"
"Holy See","1998","Not applicable","Not applicable","Percent","0"
"Holy See","1997","Not applicable","Not applicable","Percent","0"
"Holy See","1996","Not applicable","Not applicable","Percent","0"
"Holy See","1995","Not applicable","Not applicable","Percent","0"
"Holy See","1994","Not applicable","Not applicable","Percent","0"
"Holy See","1993","Not applicable","Not applicable","Percent","0"
"Holy See","1992","Not applicable","Not applicable","Percent","0"
"Holy See","1991","Not applicable","Not applicable","Percent","0"
"Holy See","1990","Not applicable","Not applicable","Percent","0"
"Holy See","1989","Not applicable","Not applicable","Percent","0"
"Holy See","1988","Not applicable","Not applicable","Percent","0"
"Holy See","1987","Not applicable","Not applicable","Percent","0"
"Holy See","1986","Not applicable","Not applicable","Percent","0"
"Holy See","1985","Not applicable","Not applicable","Percent","0"
"Holy See","1984","Not applicable","Not applicable","Percent","0"
"Holy See","1983","Not applicable","Not applicable","Percent","0"
"Holy See","1982","Not applicable","Not applicable","Percent","0"
"Holy See","1981","Not applicable","Not applicable","Percent","0"
"Holy See","1980","Not applicable","Not applicable","Percent","0"
"Holy See","1979","Not applicable","Not applicable","Percent","0"
"Holy See","1978","Not applicable","Not applicable","Percent","0"
"Holy See","1977","Not applicable","Not applicable","Percent","0"
"Holy See","1976","Not applicable","Not applicable","Percent","0"
"Holy See","1975","Not applicable","Not applicable","Percent","0"
