"Country or Area","Year","Area","Sex","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Aruba","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","101872.805727718",""
"Australia","2014","Total","Both Sexes","Estimate - de jure","Provisional figure","2015","23490736",""
"Australia","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","23135281",""
"Australia","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","22728254",""
"Australia","2011","Total","Both Sexes","Census - de facto - complete tabulation","Final figure, complete","2012","21727158","6,7"
"Australia","2011","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2012","21507719","6,7"
"Australia","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","22340024",""
"Australia","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","22031750",""
"Austria","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","8506889",""
"Austria","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","8477230",""
"Austria","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","8451860",""
"Austria","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","8408121",""
"Austria","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","8426311",""
"Austria","2011","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2012","8401940",""
"Austria","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","8388534",""
"Austria","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2012","8404252",""
"Austria","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2010","8375290",""
"Austria","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","8361069",""
"Azerbaijan","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","9477119",""
"Azerbaijan","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","9528900",""
"Azerbaijan","2013","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","9416800",""
"Azerbaijan","2013","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","9356483",""
"Azerbaijan","2012","Total","Both Sexes","Estimate - de facto","Final figure, complete","2012","9235085",""
"Azerbaijan","2012","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","9295784",""
"Azerbaijan","2011","Total","Both Sexes","Estimate - de facto","Final figure, complete","2013","9173100",""
"Azerbaijan","2010","Total","Both Sexes","Estimate - de facto","Final figure, complete","2011","9054300",""
"Bahamas","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","372000","8"
"Bahamas","2013","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","368390","8"
"Bahamas","2012","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","362590","8"
"Bahamas","2011","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","357750","8"
"Bahamas","2010","Total","Both Sexes","Census - de facto - complete tabulation","Provisional figure","2011","353658",""
"Bahamas","2010","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2013","351461",""
"Bahamas","2010","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","334642","8"
"Bahrain","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","1314562",""
"Bahrain","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","1253191",""
"Bahrain","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","1208964",""
"Bahrain","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","1195020",""
"Bahrain","2010","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2012","1234571",""
"Bahrain","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","1228543",""
"Bangladesh","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","156880000",""
"Bangladesh","2013","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","154790000",""
"Bangladesh","2012","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","152700000",""
"Bangladesh","2011","Total","Both Sexes","Census - de facto - complete tabulation","Final figure, complete","2012","149772364","9"
"Bangladesh","2011","Total","Both Sexes","Census - de facto - complete tabulation","Final figure, complete","2014","144043697",""
"Bangladesh","2011","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","150611000",""
"Bangladesh","2010","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2012","148620000",""
"Barbados","2012","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","277668",""
"Barbados","2012","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","277668",""
"Barbados","2011","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","277622",""
"Barbados","2010","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2013","277821",""
"Barbados","2010","Total","Both Sexes","Estimate - de facto","Final figure, complete","2011","276302",""
"Belarus","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","9468154",""
"Belarus","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","9465997",""
"Belarus","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","9463840",""
"Belarus","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","9464495",""
"Belarus","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","9473172",""
"Belarus","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","9490583",""
"Belgium","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","11203992",""
"Belgium","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","11161642",""
"Belgium","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","11094850",""
"Belgium","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","11128246",""
"Belgium","2011","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2015","11000638",""
"Belgium","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","11043788",""
"Belgium","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","10895638",""
"Belize","2015","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","368310",""
"Belize","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2014","358899",""
"Belize","2013","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2014","349728",""
"Belize","2012","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2014","340792",""
"Belize","2011","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2014","332084",""
"Belize","2010","Total","Both Sexes","Census - de facto - complete tabulation","Provisional figure","2011","312698",""
"Belize","2010","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2014","322453",""
"Belize","2010","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2014","323598",""
"Benin","2015","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2016","10315244","8"
"Benin","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2016","9988068","8"
"Benin","2013","Total","Both Sexes","Census - de jure - complete tabulation","Provisional figure","2014","9983884",""
"Benin","2012","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2014","9364619","8"
"Benin","2011","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2011","9067076","8"
"Benin","2010","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2011","8778648","8"
"Bermuda","2015","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","61735","10"
"Bermuda","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","61777","10"
"Bermuda","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","61954","10"
"Bermuda","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","62408","10"
"Bermuda","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","63193","10"
"Bermuda","2010","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2011","64237","11"
"Bermuda","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","64129","10"
"Bhutan","2015","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","757042","12"
"Bhutan","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2014","745153","12"
"Bhutan","2013","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","733004","12"
"Bhutan","2012","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","720679","12"
"Bhutan","2011","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2011","708265","12"
"Bhutan","2010","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2011","695823","12"
"Bolivia (Plurinational State of)","2015","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","10846758",""
"Bolivia (Plurinational State of)","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","10681367",""
"Bolivia (Plurinational State of)","2013","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","10516073",""
"Bolivia (Plurinational State of)","2012","Total","Both Sexes","Census - de facto - complete tabulation","Final figure, complete","2014","10059856",""
"Bolivia (Plurinational State of)","2012","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","10351118",""
"Bolivia (Plurinational State of)","2011","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","10186660",""
"Bolivia (Plurinational State of)","2010","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","10022682",""
"Bosnia and Herzegovina","2014","Total","Both Sexes","Estimate - de facto","Provisional figure","2014","3830911",""
"Bosnia and Herzegovina","2013","Total","Both Sexes","Census - de jure - complete tabulation","Provisional figure","2015","3791622",""
"Bosnia and Herzegovina","2013","Total","Both Sexes","Estimate - de facto","Provisional figure","2014","3833278",""
"Bosnia and Herzegovina","2013","Total","Both Sexes","Estimate - de facto","Provisional figure","2013","3835645",""
"Bosnia and Herzegovina","2012","Total","Both Sexes","Estimate - de facto","Provisional figure","2013","3839265",""
"Bosnia and Herzegovina","2012","Total","Both Sexes","Estimate - de facto","Provisional figure","2013","3837455",""
"Bosnia and Herzegovina","2011","Total","Both Sexes","Estimate - de facto","Final figure, complete","2013","3841224",""
"Bosnia and Herzegovina","2010","Total","Both Sexes","Estimate - de facto","Final figure, complete","2011","3843126",""
"Botswana","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2016","2141206","13"
"Botswana","2013","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2016","2101715","13"
"Botswana","2012","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2016","2062952","13"
"Botswana","2011","Total","Both Sexes","Census - de facto - complete tabulation","Final figure, complete","2015","2024904",""
"Botswana","2011","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2011","1849692",""
"Botswana","2010","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2011","1822859",""
"Brazil","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2014","202768562","8,14"
"Brazil","2013","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2014","201032714","8,14"
"Brazil","2012","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","193946886","14"
"Brazil","2012","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2014","199242462","8,14"
"Brazil","2011","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2012","192376496","14"
"Brazil","2011","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2014","197397018","8,14"
"Brazil","2010","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2011","190755799",""
"Brazil","2010","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2011","193252604","14"
"Brazil","2010","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2014","195497797","8,14"
"British Virgin Islands","2013","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","28514",""
"British Virgin Islands","2012","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","28280",""
"British Virgin Islands","2011","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","28103",""
"British Virgin Islands","2010","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","28037",""
"Brunei Darussalam","2011","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2015","393372",""
"Brunei Darussalam","2010","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","386800","15"
"Bulgaria","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","7245677",""
"Bulgaria","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","7265115",""
"Bulgaria","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","7282041",""
"Bulgaria","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","7305888",""
"Bulgaria","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2012","7327224",""
"Bulgaria","2011","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2012","7364570",""
"Bulgaria","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2012","7348328",""
"Bulgaria","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2011","7534289",""
"Burkina Faso","2010","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2011","15730977","8"
"Burundi","2015","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","9823828","16"
"Burundi","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","9530434","16"
"Burundi","2013","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","9249336","16"
"Burundi","2012","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","8981318","16"
"Burundi","2011","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","8727180","16"
"Burundi","2010","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","8487650","16"
"Cabo Verde","2011","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2011","527269",""
"Cabo Verde","2010","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2013","491683",""
"Cabo Verde","2010","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2011","517831",""
"Cambodia","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2014","15184116","16,17"
"Cambodia","2013","Total","Both Sexes","Sample survey - de facto","Final figure, complete","2014","14676591","18"
"Cambodia","2013","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","14962591","16,17"
"Cambodia","2012","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","14741414","16,17"
"Cambodia","2011","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2011","14521275","16,17"
"Cambodia","2010","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2011","14302779","16,17"
"Cameroon","2015","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2015","22179707","8"
"Cameroon","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2015","21657488","8"
"Cameroon","2013","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2014","21143237","8"
"Cameroon","2012","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2012","20386799","8"
"Cameroon","2011","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2012","19864500","8"
"Cameroon","2010","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2010","19406100","8"
"Canada","2014","Total","Both Sexes","Estimate - de jure","Provisional figure","2015","35540419","19"
"Canada","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","35154279","20"
"Canada","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","34752128","20"
"Canada","2011","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2013","33476690",""
"Canada","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","34342780","21"
"Canada","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","34005274","22"
"Cayman Islands","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","58238",""
"Cayman Islands","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","55691",""
"Cayman Islands","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2012","56732",""
"Cayman Islands","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2012","55517",""
"Cayman Islands","2010","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2012","55036","23"
"Cayman Islands","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2011","54878",""
"Cayman Islands","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2012","55036",""
"Chile","2015","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","18006407",""
"Chile","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","17819054",""
"Chile","2013","Total","Both Sexes","Estimate - de facto","Final figure, complete","2013","17556815",""
"Chile","2012","Total","Both Sexes","Estimate - de facto","Final figure, complete","2012","17402630",""
"Chile","2011","Total","Both Sexes","Estimate - de facto","Final figure, complete","2011","17248450",""
"Chile","2010","Total","Both Sexes","Estimate - de facto","Final figure, complete","2011","17094275",""
"China","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","1364270000","24,25"
"China","2013","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2014","1357380000","24,25"
"China","2012","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","1350695000","25,26"
"China","2011","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2012","1344100000","25,26"
"China","2010","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2012","1339724852","25,27"
"China","2010","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2012","1337700000","24,25"
"China, Hong Kong SAR","2015","Total","Both Sexes","Estimate - de jure","Provisional figure","2015","7298600",""
"China, Hong Kong SAR","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","7241700",""
"China, Hong Kong SAR","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","7187500",""
"China, Hong Kong SAR","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","7154600",""
"China, Hong Kong SAR","2011","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2013","7071576","28"
"China, Hong Kong SAR","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","7071600",""
"China, Hong Kong SAR","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","7024200",""
"China, Macao SAR","2015","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","642900",""
"China, Macao SAR","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","621700",""
"China, Macao SAR","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","591900",""
"China, Macao SAR","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","567900",""
"China, Macao SAR","2011","Total","Both Sexes","Census - de facto - complete tabulation","Final figure, complete","2012","625674",""
"China, Macao SAR","2011","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2012","552503",""
"China, Macao SAR","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","549600",""
"China, Macao SAR","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","537000",""
"Colombia","2015","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2015","48203405","29"
"Colombia","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2014","47661787","29"
"Colombia","2013","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2013","47121089","29"
"Colombia","2012","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2013","46581823","29"
"Colombia","2011","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2013","46044601","29"
"Colombia","2010","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2013","45509584","29"
"Congo","2013","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2014","4277646",""
"Cook Islands","2014","Total","Both Sexes","Estimate - de facto","Provisional figure","2014","18600","30"
"Cook Islands","2013","Total","Both Sexes","Estimate - de facto","Provisional figure","2014","18600","30"
"Cook Islands","2012","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","19500","30"
"Cook Islands","2011","Total","Both Sexes","Census - de facto - complete tabulation","Final figure, complete","2014","17794","30"
"Cook Islands","2011","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2014","14974","30"
"Cook Islands","2011","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","19300","30"
"Cook Islands","2010","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","23700","30"
"Costa Rica","2015","Total","Both Sexes","Estimate - de jure","Provisional figure","2015","4832234","31"
"Costa Rica","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","4772098","32"
"Costa Rica","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","4711986","32"
"Costa Rica","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","4651166","32"
"Costa Rica","2011","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2012","4301712",""
"Costa Rica","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","4592346","32"
"Costa Rica","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","4538307","32"
"Côte d'Ivoire","2014","Total","Both Sexes","Census - de facto - complete tabulation","Final figure, complete","2015","22671331",""
"Croatia","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","4246809",""
