,Reference Area,Time Period,Sex,Age group,Units of measurement,Observation Value,Year_x,Value,Notes,Continent,Sub Group,Year_y,Population
23,Argentina,2012,Female,Not applicable,Percent,4.35671,1991,96.1,,South America,Rural Male,2000.0,2064546.0
24,Argentina,2011,Female,Not applicable,Percent,1.98785,2011,97.9,,South America,Rural Female,2000.0,1817243.0
25,Argentina,2011,Female,Not applicable,Percent,1.98785,2011,97.9,,South America,Rural Male,2000.0,2064546.0
26,Argentina,2011,Female,Not applicable,Percent,1.98785,2010,97.8,,South America,Rural Female,2000.0,1817243.0
27,Argentina,2011,Female,Not applicable,Percent,1.98785,2010,97.8,,South America,Rural Male,2000.0,2064546.0
28,Argentina,2011,Female,Not applicable,Percent,1.98785,2001,97.2,,South America,Rural Female,2000.0,1817243.0
29,Argentina,2011,Female,Not applicable,Percent,1.98785,2001,97.2,,South America,Rural Male,2000.0,2064546.0
30,Argentina,2011,Female,Not applicable,Percent,1.98785,1991,96.1,,South America,Rural Female,2000.0,1817243.0
31,Argentina,2011,Female,Not applicable,Percent,1.98785,1991,96.1,,South America,Rural Male,2000.0,2064546.0
32,Argentina,2011,All genders,Not applicable,Percent,2.90276,2011,97.9,,South America,Rural Female,2000.0,1817243.0
33,Argentina,2011,All genders,Not applicable,Percent,2.90276,2011,97.9,,South America,Rural Male,2000.0,2064546.0
34,Argentina,2011,All genders,Not applicable,Percent,2.90276,2010,97.8,,South America,Rural Female,2000.0,1817243.0
35,Argentina,2011,All genders,Not applicable,Percent,2.90276,2010,97.8,,South America,Rural Male,2000.0,2064546.0
36,Argentina,2011,All genders,Not applicable,Percent,2.90276,2001,97.2,,South America,Rural Female,2000.0,1817243.0
37,Argentina,2011,All genders,Not applicable,Percent,2.90276,2001,97.2,,South America,Rural Male,2000.0,2064546.0
38,Argentina,2011,All genders,Not applicable,Percent,2.90276,1991,96.1,,South America,Rural Female,2000.0,1817243.0
39,Argentina,2011,All genders,Not applicable,Percent,2.90276,1991,96.1,,South America,Rural Male,2000.0,2064546.0
40,Argentina,2011,Male,Not applicable,Percent,3.78609,2011,97.9,,South America,Rural Female,2000.0,1817243.0
41,Argentina,2011,Male,Not applicable,Percent,3.78609,2011,97.9,,South America,Rural Male,2000.0,2064546.0
42,Argentina,2011,Male,Not applicable,Percent,3.78609,2010,97.8,,South America,Rural Female,2000.0,1817243.0
43,Argentina,2011,Male,Not applicable,Percent,3.78609,2010,97.8,,South America,Rural Male,2000.0,2064546.0
44,Argentina,2011,Male,Not applicable,Percent,3.78609,2001,97.2,,South America,Rural Female,2000.0,1817243.0
45,Argentina,2011,Male,Not applicable,Percent,3.78609,2001,97.2,,South America,Rural Male,2000.0,2064546.0
46,Argentina,2011,Male,Not applicable,Percent,3.78609,1991,96.1,,South America,Rural Female,2000.0,1817243.0
47,Argentina,2011,Male,Not applicable,Percent,3.78609,1991,96.1,,South America,Rural Male,2000.0,2064546.0
48,Argentina,2010,Male,Not applicable,Percent,8.718919999999999,2011,97.9,,South America,Rural Female,2000.0,1817243.0
49,Argentina,2010,Male,Not applicable,Percent,8.718919999999999,2011,97.9,,South America,Rural Male,2000.0,2064546.0
50,Argentina,2010,Male,Not applicable,Percent,8.718919999999999,2010,97.8,,South America,Rural Female,2000.0,1817243.0
51,Argentina,2010,Male,Not applicable,Percent,8.718919999999999,2010,97.8,,South America,Rural Male,2000.0,2064546.0
52,Argentina,2010,Male,Not applicable,Percent,8.718919999999999,2001,97.2,,South America,Rural Female,2000.0,1817243.0
53,Argentina,2010,Male,Not applicable,Percent,8.718919999999999,2001,97.2,,South America,Rural Male,2000.0,2064546.0
54,Argentina,2010,Male,Not applicable,Percent,8.718919999999999,1991,96.1,,South America,Rural Female,2000.0,1817243.0
55,Argentina,2010,Male,Not applicable,Percent,8.718919999999999,1991,96.1,,South America,Rural Male,2000.0,2064546.0
56,Argentina,2010,All genders,Not applicable,Percent,6.8832699999999996,2011,97.9,,South America,Rural Female,2000.0,1817243.0
57,Argentina,2010,All genders,Not applicable,Percent,6.8832699999999996,2011,97.9,,South America,Rural Male,2000.0,2064546.0
58,Argentina,2010,All genders,Not applicable,Percent,6.8832699999999996,2010,97.8,,South America,Rural Female,2000.0,1817243.0
59,Argentina,2010,All genders,Not applicable,Percent,6.8832699999999996,2010,97.8,,South America,Rural Male,2000.0,2064546.0
60,Argentina,2010,All genders,Not applicable,Percent,6.8832699999999996,2001,97.2,,South America,Rural Female,2000.0,1817243.0
61,Argentina,2010,All genders,Not applicable,Percent,6.8832699999999996,2001,97.2,,South America,Rural Male,2000.0,2064546.0
62,Argentina,2010,All genders,Not applicable,Percent,6.8832699999999996,1991,96.1,,South America,Rural Female,2000.0,1817243.0
63,Argentina,2010,All genders,Not applicable,Percent,6.8832699999999996,1991,96.1,,South America,Rural Male,2000.0,2064546.0
64,Argentina,2010,Female,Not applicable,Percent,4.96001,2011,97.9,,South America,Rural Female,2000.0,1817243.0
65,Argentina,2010,Female,Not applicable,Percent,4.96001,2011,97.9,,South America,Rural Male,2000.0,2064546.0
66,Argentina,2010,Female,Not applicable,Percent,4.96001,2010,97.8,,South America,Rural Female,2000.0,1817243.0
67,Argentina,2010,Female,Not applicable,Percent,4.96001,2010,97.8,,South America,Rural Male,2000.0,2064546.0
68,Argentina,2010,Female,Not applicable,Percent,4.96001,2001,97.2,,South America,Rural Female,2000.0,1817243.0
69,Argentina,2010,Female,Not applicable,Percent,4.96001,2001,97.2,,South America,Rural Male,2000.0,2064546.0
70,Argentina,2010,Female,Not applicable,Percent,4.96001,1991,96.1,,South America,Rural Female,2000.0,1817243.0
71,Argentina,2010,Female,Not applicable,Percent,4.96001,1991,96.1,,South America,Rural Male,2000.0,2064546.0
72,Argentina,2009,Female,Not applicable,Percent,4.14328,2011,97.9,,South America,Rural Female,2000.0,1817243.0
73,Argentina,2009,Female,Not applicable,Percent,4.14328,2011,97.9,,South America,Rural Male,2000.0,2064546.0
74,Argentina,2009,Female,Not applicable,Percent,4.14328,2010,97.8,,South America,Rural Female,2000.0,1817243.0
75,Argentina,2009,Female,Not applicable,Percent,4.14328,2010,97.8,,South America,Rural Male,2000.0,2064546.0
76,Argentina,2009,Female,Not applicable,Percent,4.14328,2001,97.2,,South America,Rural Female,2000.0,1817243.0
77,Argentina,2009,Female,Not applicable,Percent,4.14328,2001,97.2,,South America,Rural Male,2000.0,2064546.0
78,Argentina,2009,Female,Not applicable,Percent,4.14328,1991,96.1,,South America,Rural Female,2000.0,1817243.0
79,Argentina,2009,Female,Not applicable,Percent,4.14328,1991,96.1,,South America,Rural Male,2000.0,2064546.0
80,Argentina,2009,All genders,Not applicable,Percent,4.67612,2011,97.9,,South America,Rural Female,2000.0,1817243.0
81,Argentina,2009,All genders,Not applicable,Percent,4.67612,2011,97.9,,South America,Rural Male,2000.0,2064546.0
82,Argentina,2009,All genders,Not applicable,Percent,4.67612,2010,97.8,,South America,Rural Female,2000.0,1817243.0
83,Argentina,2009,All genders,Not applicable,Percent,4.67612,2010,97.8,,South America,Rural Male,2000.0,2064546.0
84,Argentina,2009,All genders,Not applicable,Percent,4.67612,2001,97.2,,South America,Rural Female,2000.0,1817243.0
85,Argentina,2009,All genders,Not applicable,Percent,4.67612,2001,97.2,,South America,Rural Male,2000.0,2064546.0
86,Argentina,2009,All genders,Not applicable,Percent,4.67612,1991,96.1,,South America,Rural Female,2000.0,1817243.0
87,Argentina,2009,All genders,Not applicable,Percent,4.67612,1991,96.1,,South America,Rural Male,2000.0,2064546.0
88,Argentina,2009,Male,Not applicable,Percent,5.19353,2011,97.9,,South America,Rural Female,2000.0,1817243.0
89,Argentina,2009,Male,Not applicable,Percent,5.19353,2011,97.9,,South America,Rural Male,2000.0,2064546.0
90,Argentina,2009,Male,Not applicable,Percent,5.19353,2010,97.8,,South America,Rural Female,2000.0,1817243.0
91,Argentina,2009,Male,Not applicable,Percent,5.19353,2010,97.8,,South America,Rural Male,2000.0,2064546.0
92,Argentina,2009,Male,Not applicable,Percent,5.19353,2001,97.2,,South America,Rural Female,2000.0,1817243.0
93,Argentina,2009,Male,Not applicable,Percent,5.19353,2001,97.2,,South America,Rural Male,2000.0,2064546.0
94,Argentina,2009,Male,Not applicable,Percent,5.19353,1991,96.1,,South America,Rural Female,2000.0,1817243.0
95,Argentina,2009,Male,Not applicable,Percent,5.19353,1991,96.1,,South America,Rural Male,2000.0,2064546.0
96,Argentina,2008,Male,Not applicable,Percent,6.40255,2011,97.9,,South America,Rural Female,2000.0,1817243.0
97,Argentina,2008,Male,Not applicable,Percent,6.40255,2011,97.9,,South America,Rural Male,2000.0,2064546.0
98,Argentina,2008,Male,Not applicable,Percent,6.40255,2010,97.8,,South America,Rural Female,2000.0,1817243.0
99,Argentina,2008,Male,Not applicable,Percent,6.40255,2010,97.8,,South America,Rural Male,2000.0,2064546.0
100,Argentina,2008,Male,Not applicable,Percent,6.40255,2001,97.2,,South America,Rural Female,2000.0,1817243.0
101,Argentina,2008,Male,Not applicable,Percent,6.40255,2001,97.2,,South America,Rural Male,2000.0,2064546.0
102,Argentina,2008,Male,Not applicable,Percent,6.40255,1991,96.1,,South America,Rural Female,2000.0,1817243.0
103,Argentina,2008,Male,Not applicable,Percent,6.40255,1991,96.1,,South America,Rural Male,2000.0,2064546.0
104,Argentina,2008,All genders,Not applicable,Percent,6.16284,2011,97.9,,South America,Rural Female,2000.0,1817243.0
105,Argentina,2008,All genders,Not applicable,Percent,6.16284,2011,97.9,,South America,Rural Male,2000.0,2064546.0
106,Argentina,2008,All genders,Not applicable,Percent,6.16284,2010,97.8,,South America,Rural Female,2000.0,1817243.0
107,Argentina,2008,All genders,Not applicable,Percent,6.16284,2010,97.8,,South America,Rural Male,2000.0,2064546.0
108,Argentina,2008,All genders,Not applicable,Percent,6.16284,2001,97.2,,South America,Rural Female,2000.0,1817243.0
109,Argentina,2008,All genders,Not applicable,Percent,6.16284,2001,97.2,,South America,Rural Male,2000.0,2064546.0
110,Argentina,2008,All genders,Not applicable,Percent,6.16284,1991,96.1,,South America,Rural Female,2000.0,1817243.0
111,Argentina,2008,All genders,Not applicable,Percent,6.16284,1991,96.1,,South America,Rural Male,2000.0,2064546.0
112,Argentina,2008,Female,Not applicable,Percent,5.9248199999999995,2011,97.9,,South America,Rural Female,2000.0,1817243.0
113,Argentina,2008,Female,Not applicable,Percent,5.9248199999999995,2011,97.9,,South America,Rural Male,2000.0,2064546.0
114,Argentina,2008,Female,Not applicable,Percent,5.9248199999999995,2010,97.8,,South America,Rural Female,2000.0,1817243.0
115,Argentina,2008,Female,Not applicable,Percent,5.9248199999999995,2010,97.8,,South America,Rural Male,2000.0,2064546.0
116,Argentina,2008,Female,Not applicable,Percent,5.9248199999999995,2001,97.2,,South America,Rural Female,2000.0,1817243.0
117,Argentina,2008,Female,Not applicable,Percent,5.9248199999999995,2001,97.2,,South America,Rural Male,2000.0,2064546.0
118,Argentina,2008,Female,Not applicable,Percent,5.9248199999999995,1991,96.1,,South America,Rural Female,2000.0,1817243.0
119,Argentina,2008,Female,Not applicable,Percent,5.9248199999999995,1991,96.1,,South America,Rural Male,2000.0,2064546.0
120,Argentina,2007,Female,Not applicable,Percent,0.57222,2011,97.9,,South America,Rural Female,2000.0,1817243.0
121,Argentina,2007,Female,Not applicable,Percent,0.57222,2011,97.9,,South America,Rural Male,2000.0,2064546.0
122,Argentina,2007,Female,Not applicable,Percent,0.57222,2010,97.8,,South America,Rural Female,2000.0,1817243.0
123,Argentina,2007,Female,Not applicable,Percent,0.57222,2010,97.8,,South America,Rural Male,2000.0,2064546.0
124,Argentina,2007,Female,Not applicable,Percent,0.57222,2001,97.2,,South America,Rural Female,2000.0,1817243.0
125,Argentina,2007,Female,Not applicable,Percent,0.57222,2001,97.2,,South America,Rural Male,2000.0,2064546.0
126,Argentina,2007,Female,Not applicable,Percent,0.57222,1991,96.1,,South America,Rural Female,2000.0,1817243.0
127,Argentina,2007,Female,Not applicable,Percent,0.57222,1991,96.1,,South America,Rural Male,2000.0,2064546.0
128,Argentina,2007,All genders,Not applicable,Percent,4.17582,2011,97.9,,South America,Rural Female,2000.0,1817243.0
129,Argentina,2007,All genders,Not applicable,Percent,4.17582,2011,97.9,,South America,Rural Male,2000.0,2064546.0
130,Argentina,2007,All genders,Not applicable,Percent,4.17582,2010,97.8,,South America,Rural Female,2000.0,1817243.0
131,Argentina,2007,All genders,Not applicable,Percent,4.17582,2010,97.8,,South America,Rural Male,2000.0,2064546.0
132,Argentina,2007,All genders,Not applicable,Percent,4.17582,2001,97.2,,South America,Rural Female,2000.0,1817243.0
133,Argentina,2007,All genders,Not applicable,Percent,4.17582,2001,97.2,,South America,Rural Male,2000.0,2064546.0
134,Argentina,2007,All genders,Not applicable,Percent,4.17582,1991,96.1,,South America,Rural Female,2000.0,1817243.0
135,Argentina,2007,All genders,Not applicable,Percent,4.17582,1991,96.1,,South America,Rural Male,2000.0,2064546.0
136,Argentina,2007,Male,Not applicable,Percent,7.58868,2011,97.9,,South America,Rural Female,2000.0,1817243.0
137,Argentina,2007,Male,Not applicable,Percent,7.58868,2011,97.9,,South America,Rural Male,2000.0,2064546.0
138,Argentina,2007,Male,Not applicable,Percent,7.58868,2010,97.8,,South America,Rural Female,2000.0,1817243.0
139,Argentina,2007,Male,Not applicable,Percent,7.58868,2010,97.8,,South America,Rural Male,2000.0,2064546.0
140,Argentina,2007,Male,Not applicable,Percent,7.58868,2001,97.2,,South America,Rural Female,2000.0,1817243.0
141,Argentina,2007,Male,Not applicable,Percent,7.58868,2001,97.2,,South America,Rural Male,2000.0,2064546.0
142,Argentina,2007,Male,Not applicable,Percent,7.58868,1991,96.1,,South America,Rural Female,2000.0,1817243.0
143,Argentina,2007,Male,Not applicable,Percent,7.58868,1991,96.1,,South America,Rural Male,2000.0,2064546.0
144,Argentina,2006,Male,Not applicable,Percent,7.29385,2011,97.9,,South America,Rural Female,2000.0,1817243.0
145,Argentina,2006,Male,Not applicable,Percent,7.29385,2011,97.9,,South America,Rural Male,2000.0,2064546.0
146,Argentina,2006,Male,Not applicable,Percent,7.29385,2010,97.8,,South America,Rural Female,2000.0,1817243.0
147,Argentina,2006,Male,Not applicable,Percent,7.29385,2010,97.8,,South America,Rural Male,2000.0,2064546.0
148,Argentina,2006,Male,Not applicable,Percent,7.29385,2001,97.2,,South America,Rural Female,2000.0,1817243.0
149,Argentina,2006,Male,Not applicable,Percent,7.29385,2001,97.2,,South America,Rural Male,2000.0,2064546.0
150,Argentina,2006,Male,Not applicable,Percent,7.29385,1991,96.1,,South America,Rural Female,2000.0,1817243.0
151,Argentina,2006,Male,Not applicable,Percent,7.29385,1991,96.1,,South America,Rural Male,2000.0,2064546.0
152,Argentina,2006,All genders,Not applicable,Percent,5.11841,2011,97.9,,South America,Rural Female,2000.0,1817243.0
153,Argentina,2006,All genders,Not applicable,Percent,5.11841,2011,97.9,,South America,Rural Male,2000.0,2064546.0
154,Argentina,2006,All genders,Not applicable,Percent,5.11841,2010,97.8,,South America,Rural Female,2000.0,1817243.0
155,Argentina,2006,All genders,Not applicable,Percent,5.11841,2010,97.8,,South America,Rural Male,2000.0,2064546.0
156,Argentina,2006,All genders,Not applicable,Percent,5.11841,2001,97.2,,South America,Rural Female,2000.0,1817243.0
157,Argentina,2006,All genders,Not applicable,Percent,5.11841,2001,97.2,,South America,Rural Male,2000.0,2064546.0
158,Argentina,2006,All genders,Not applicable,Percent,5.11841,1991,96.1,,South America,Rural Female,2000.0,1817243.0
159,Argentina,2006,All genders,Not applicable,Percent,5.11841,1991,96.1,,South America,Rural Male,2000.0,2064546.0
160,Argentina,2006,Female,Not applicable,Percent,2.85206,2011,97.9,,South America,Rural Female,2000.0,1817243.0
161,Argentina,2006,Female,Not applicable,Percent,2.85206,2011,97.9,,South America,Rural Male,2000.0,2064546.0
162,Argentina,2006,Female,Not applicable,Percent,2.85206,2010,97.8,,South America,Rural Female,2000.0,1817243.0
163,Argentina,2006,Female,Not applicable,Percent,2.85206,2010,97.8,,South America,Rural Male,2000.0,2064546.0
164,Argentina,2006,Female,Not applicable,Percent,2.85206,2001,97.2,,South America,Rural Female,2000.0,1817243.0
165,Argentina,2006,Female,Not applicable,Percent,2.85206,2001,97.2,,South America,Rural Male,2000.0,2064546.0
166,Argentina,2006,Female,Not applicable,Percent,2.85206,1991,96.1,,South America,Rural Female,2000.0,1817243.0
167,Argentina,2006,Female,Not applicable,Percent,2.85206,1991,96.1,,South America,Rural Male,2000.0,2064546.0
168,Argentina,2005,Female,Not applicable,Percent,4.12439,2011,97.9,,South America,Rural Female,2000.0,1817243.0
169,Argentina,2005,Female,Not applicable,Percent,4.12439,2011,97.9,,South America,Rural Male,2000.0,2064546.0
170,Argentina,2005,Female,Not applicable,Percent,4.12439,2010,97.8,,South America,Rural Female,2000.0,1817243.0
171,Argentina,2005,Female,Not applicable,Percent,4.12439,2010,97.8,,South America,Rural Male,2000.0,2064546.0
172,Argentina,2005,Female,Not applicable,Percent,4.12439,2001,97.2,,South America,Rural Female,2000.0,1817243.0
173,Argentina,2005,Female,Not applicable,Percent,4.12439,2001,97.2,,South America,Rural Male,2000.0,2064546.0
174,Argentina,2005,Female,Not applicable,Percent,4.12439,1991,96.1,,South America,Rural Female,2000.0,1817243.0
175,Argentina,2005,Female,Not applicable,Percent,4.12439,1991,96.1,,South America,Rural Male,2000.0,2064546.0
176,Argentina,2005,All genders,Not applicable,Percent,5.459569999999999,2011,97.9,,South America,Rural Female,2000.0,1817243.0
177,Argentina,2005,All genders,Not applicable,Percent,5.459569999999999,2011,97.9,,South America,Rural Male,2000.0,2064546.0
178,Argentina,2005,All genders,Not applicable,Percent,5.459569999999999,2010,97.8,,South America,Rural Female,2000.0,1817243.0
179,Argentina,2005,All genders,Not applicable,Percent,5.459569999999999,2010,97.8,,South America,Rural Male,2000.0,2064546.0
180,Argentina,2005,All genders,Not applicable,Percent,5.459569999999999,2001,97.2,,South America,Rural Female,2000.0,1817243.0
181,Argentina,2005,All genders,Not applicable,Percent,5.459569999999999,2001,97.2,,South America,Rural Male,2000.0,2064546.0
182,Argentina,2005,All genders,Not applicable,Percent,5.459569999999999,1991,96.1,,South America,Rural Female,2000.0,1817243.0
183,Argentina,2005,All genders,Not applicable,Percent,5.459569999999999,1991,96.1,,South America,Rural Male,2000.0,2064546.0
184,Argentina,2005,Male,Not applicable,Percent,6.76192,2011,97.9,,South America,Rural Female,2000.0,1817243.0
185,Argentina,2005,Male,Not applicable,Percent,6.76192,2011,97.9,,South America,Rural Male,2000.0,2064546.0
186,Argentina,2005,Male,Not applicable,Percent,6.76192,2010,97.8,,South America,Rural Female,2000.0,1817243.0
187,Argentina,2005,Male,Not applicable,Percent,6.76192,2010,97.8,,South America,Rural Male,2000.0,2064546.0
188,Argentina,2005,Male,Not applicable,Percent,6.76192,2001,97.2,,South America,Rural Female,2000.0,1817243.0
189,Argentina,2005,Male,Not applicable,Percent,6.76192,2001,97.2,,South America,Rural Male,2000.0,2064546.0
190,Argentina,2005,Male,Not applicable,Percent,6.76192,1991,96.1,,South America,Rural Female,2000.0,1817243.0
191,Argentina,2005,Male,Not applicable,Percent,6.76192,1991,96.1,,South America,Rural Male,2000.0,2064546.0
192,Argentina,2004,Male,Not applicable,Percent,14.990920000000001,2011,97.9,,South America,Rural Female,2000.0,1817243.0
193,Argentina,2004,Male,Not applicable,Percent,14.990920000000001,2011,97.9,,South America,Rural Male,2000.0,2064546.0
194,Argentina,2004,Male,Not applicable,Percent,14.990920000000001,2010,97.8,,South America,Rural Female,2000.0,1817243.0
195,Argentina,2004,Male,Not applicable,Percent,14.990920000000001,2010,97.8,,South America,Rural Male,2000.0,2064546.0
196,Argentina,2004,Male,Not applicable,Percent,14.990920000000001,2001,97.2,,South America,Rural Female,2000.0,1817243.0
197,Argentina,2004,Male,Not applicable,Percent,14.990920000000001,2001,97.2,,South America,Rural Male,2000.0,2064546.0
198,Argentina,2004,Male,Not applicable,Percent,14.990920000000001,1991,96.1,,South America,Rural Female,2000.0,1817243.0
199,Argentina,2004,Male,Not applicable,Percent,14.990920000000001,1991,96.1,,South America,Rural Male,2000.0,2064546.0
200,Argentina,2004,Female,Not applicable,Percent,11.2578,2011,97.9,,South America,Rural Female,2000.0,1817243.0
201,Argentina,2004,Female,Not applicable,Percent,11.2578,2011,97.9,,South America,Rural Male,2000.0,2064546.0
202,Argentina,2004,Female,Not applicable,Percent,11.2578,2010,97.8,,South America,Rural Female,2000.0,1817243.0
203,Argentina,2004,Female,Not applicable,Percent,11.2578,2010,97.8,,South America,Rural Male,2000.0,2064546.0
204,Argentina,2004,Female,Not applicable,Percent,11.2578,2001,97.2,,South America,Rural Female,2000.0,1817243.0
205,Argentina,2004,Female,Not applicable,Percent,11.2578,2001,97.2,,South America,Rural Male,2000.0,2064546.0
206,Argentina,2004,Female,Not applicable,Percent,11.2578,1991,96.1,,South America,Rural Female,2000.0,1817243.0
207,Argentina,2004,Female,Not applicable,Percent,11.2578,1991,96.1,,South America,Rural Male,2000.0,2064546.0
208,Argentina,2004,All genders,Not applicable,Percent,13.15766,2011,97.9,,South America,Rural Female,2000.0,1817243.0
209,Argentina,2004,All genders,Not applicable,Percent,13.15766,2011,97.9,,South America,Rural Male,2000.0,2064546.0
210,Argentina,2004,All genders,Not applicable,Percent,13.15766,2010,97.8,,South America,Rural Female,2000.0,1817243.0
211,Argentina,2004,All genders,Not applicable,Percent,13.15766,2010,97.8,,South America,Rural Male,2000.0,2064546.0
212,Argentina,2004,All genders,Not applicable,Percent,13.15766,2001,97.2,,South America,Rural Female,2000.0,1817243.0
213,Argentina,2004,All genders,Not applicable,Percent,13.15766,2001,97.2,,South America,Rural Male,2000.0,2064546.0
214,Argentina,2004,All genders,Not applicable,Percent,13.15766,1991,96.1,,South America,Rural Female,2000.0,1817243.0
215,Argentina,2004,All genders,Not applicable,Percent,13.15766,1991,96.1,,South America,Rural Male,2000.0,2064546.0
216,Argentina,2003,All genders,Not applicable,Percent,4.5839099999999995,2011,97.9,,South America,Rural Female,2000.0,1817243.0
217,Argentina,2003,All genders,Not applicable,Percent,4.5839099999999995,2011,97.9,,South America,Rural Male,2000.0,2064546.0
218,Argentina,2003,All genders,Not applicable,Percent,4.5839099999999995,2010,97.8,,South America,Rural Female,2000.0,1817243.0
219,Argentina,2003,All genders,Not applicable,Percent,4.5839099999999995,2010,97.8,,South America,Rural Male,2000.0,2064546.0
220,Argentina,2003,All genders,Not applicable,Percent,4.5839099999999995,2001,97.2,,South America,Rural Female,2000.0,1817243.0
221,Argentina,2003,All genders,Not applicable,Percent,4.5839099999999995,2001,97.2,,South America,Rural Male,2000.0,2064546.0
222,Argentina,2003,All genders,Not applicable,Percent,4.5839099999999995,1991,96.1,,South America,Rural Female,2000.0,1817243.0
223,Argentina,2003,All genders,Not applicable,Percent,4.5839099999999995,1991,96.1,,South America,Rural Male,2000.0,2064546.0
224,Argentina,2003,Female,Not applicable,Percent,3.27696,2011,97.9,,South America,Rural Female,2000.0,1817243.0
225,Argentina,2003,Female,Not applicable,Percent,3.27696,2011,97.9,,South America,Rural Male,2000.0,2064546.0
226,Argentina,2003,Female,Not applicable,Percent,3.27696,2010,97.8,,South America,Rural Female,2000.0,1817243.0
227,Argentina,2003,Female,Not applicable,Percent,3.27696,2010,97.8,,South America,Rural Male,2000.0,2064546.0
228,Argentina,2003,Female,Not applicable,Percent,3.27696,2001,97.2,,South America,Rural Female,2000.0,1817243.0
229,Argentina,2003,Female,Not applicable,Percent,3.27696,2001,97.2,,South America,Rural Male,2000.0,2064546.0
230,Argentina,2003,Female,Not applicable,Percent,3.27696,1991,96.1,,South America,Rural Female,2000.0,1817243.0
231,Argentina,2003,Female,Not applicable,Percent,3.27696,1991,96.1,,South America,Rural Male,2000.0,2064546.0
232,Argentina,2003,Male,Not applicable,Percent,5.8645,2011,97.9,,South America,Rural Female,2000.0,1817243.0
233,Argentina,2003,Male,Not applicable,Percent,5.8645,2011,97.9,,South America,Rural Male,2000.0,2064546.0
234,Argentina,2003,Male,Not applicable,Percent,5.8645,2010,97.8,,South America,Rural Female,2000.0,1817243.0
235,Argentina,2003,Male,Not applicable,Percent,5.8645,2010,97.8,,South America,Rural Male,2000.0,2064546.0
236,Argentina,2003,Male,Not applicable,Percent,5.8645,2001,97.2,,South America,Rural Female,2000.0,1817243.0
237,Argentina,2003,Male,Not applicable,Percent,5.8645,2001,97.2,,South America,Rural Male,2000.0,2064546.0
238,Argentina,2003,Male,Not applicable,Percent,5.8645,1991,96.1,,South America,Rural Female,2000.0,1817243.0
239,Argentina,2003,Male,Not applicable,Percent,5.8645,1991,96.1,,South America,Rural Male,2000.0,2064546.0
240,Argentina,2002,Male,Not applicable,Percent,20.341079999999998,2011,97.9,,South America,Rural Female,2000.0,1817243.0
241,Argentina,2002,Male,Not applicable,Percent,20.341079999999998,2011,97.9,,South America,Rural Male,2000.0,2064546.0
